jd mag magerr filt field flux fluxerr adjflux
2458207 18.818 0.078 zg 431 107.85151471628849 7.748123449327681 10.287658620075675
2458207 18.893 0.071 zg 431 100.65288995644615 6.582036369045717 3.0890338602333287
2458210 19.091 0.117 zg 431 83.87378633308819 9.038321608845514 -13.690069763124626
2458231 18.955 0.033 zg 431 95.06622502843139 2.8894545582894238 -2.497631067781427
2458234 18.76 0.081 zg 431 113.76960464989857 8.487639940766915 16.20574855368575
2458234 19.121 0.183 zg 431 81.58799280317413 13.751593266899459 -15.975863293038685
2458237 19.047 0.139 zg 431 87.3426267741177 11.18192896985225 -10.221229322095112
2458244 18.811 0.076 zg 431 108.54910547894767 7.598283984863362 10.98524938273485
2458247 18.921 0.029 zg 431 98.09034203907753 2.6199917684120586 0.52648594286471
2458262 19.029 0.063 zg 431 88.80271603810976 5.152790416201717 -8.761140058103052
2458273 18.921 0.038 zg 431 98.09034203907753 3.43309266205718 0.52648594286471
2458279 18.937 0.034 zg 431 96.65542814332306 3.026779932796911 -0.9084279528897525
2458282 18.956 0.033 zg 431 94.97870610953082 2.88679449748362 -2.585149986681998
2458288 18.946 0.033 zg 431 95.8575332568729 2.9135056780956265 -1.7063228393399186
2458300 18.918 0.065 zg 431 98.3617504622087 5.888643808712132 0.7978943659958873
2458306 18.953 0.033 zg 431 95.24150487565133 2.8947820355651275 -2.3223512205614867
2458331 18.954 0.079 zg 431 95.1538245923677 6.923552986309093 -2.4100315038451186
2458334 18.878 0.036 zg 431 102.05311113414187 3.383798002432413 4.4892550379290554
2458337 18.905 0.031 zg 431 99.54655818270115 2.8422588195363665 1.982702086488331
2458344 18.941 0.041 zg 431 96.29999152699126 3.63651836910625 -1.2638645692215533
2458347 18.801 0.046 zg 431 109.55349798567048 4.641515024787709 11.989641889457658
2458562 18.874 0.335 zg 431 102.42978211751914 31.60434077724531 4.865926021306322
2458569 19.047 0.171 zg 431 87.3426267741177 13.756185998882984 -10.221229322095112
2458573 18.948 0.036 zg 431 95.68111968795604 3.17252044619232 -1.8827364082567755
2458577 18.77 0.087 zg 431 112.7265586449406 9.032774774508503 15.16270254872778
2458581 18.972 0.038 zg 431 93.58931075863003 3.275559747609414 -3.974545337582782
