jd mag magerr filt field flux fluxerr adjflux
2458204 19.47 0.095 zg 431 59.159738945148284 5.176372654019674 1.460845644137457
2458207 19.534 0.145 zg 431 55.77328809306034 7.448519021519897 -1.9256052079504897
2458207 19.5 0.12 zg 431 57.54747181826294 6.360381635914907 -0.15142148274788525
2458210 19.617 0.181 zg 431 51.668547027675494 8.613516774171329 -6.030346273335333
2458231 19.568 0.05 zg 431 54.053802303167586 2.489269588058418 -3.6450909978432406
2458234 19.58 0.165 zg 431 53.45966696333204 8.124298526928847 -4.239226337678787
2458234 20.212 0.474 zg 431 29.869382811895758 13.040080445684872 -27.82951048911507
2458237 19.617 0.225 zg 431 51.668547027675494 10.707410354632868 -6.030346273335333
2458244 19.409 0.114 zg 431 62.578658497513636 6.570626490534869 4.8797651965028095
2458247 19.435 0.038 zg 431 61.09789515746866 2.138383159564087 3.3990018564578364
2458262 19.448 0.089 zg 431 60.37070519520426 4.948709215762153 2.671811894193432
2458273 19.483 0.057 zg 431 58.4556170073922 3.068857936964184 0.7567237063813721
2458279 19.529 0.051 zg 431 56.03072589403438 2.6319164895420766 -1.668167406976444
2458282 19.459 0.043 zg 431 59.76215490829291 2.3668480886930228 2.0632616072820866
2458288 19.504 0.046 zg 431 57.33584915976915 2.4291803568776893 -0.36304414124168005
2458300 19.524 0.107 zg 431 56.28935197390747 5.547351773674933 -1.409541327103355
2458306 19.467 0.045 zg 431 59.323429387307804 2.4587503951049974 1.6245360862969775
2458331 19.642 0.143 zg 431 50.49242730815034 6.650249916529217 -7.206465992860487
2458334 19.514 0.06 zg 431 56.810190935052475 3.1394471706527356 -0.888702365958352
2458337 19.57 0.053 zg 431 53.95432317144118 2.6337697090274466 -3.744570129569645
2458344 19.456 0.06 zg 431 59.927512189034246 3.311716709440542 2.2286188880234192
2458347 19.432 0.077 zg 431 61.26694832862291 4.345028746973487 3.5680550276120826
2458562 19.654 0.704 zg 431 49.937437017372915 32.37983177328259 -7.761456283637912
2458569 19.934 0.38 zg 431 38.585688052763395 13.504718177208142 -19.113205248247432
2458573 19.508 0.053 zg 431 57.125004713561204 2.7885459069620055 -0.5738885874496233
2458577 19.48 0.128 zg 431 58.61735919836963 6.910538623019179 0.9184658973588
2458581 19.518 0.059 zg 431 56.60127952234631 3.0757705943520333 -1.0976137786645168
2458584 19.524 0.05 zg 431 56.28935197390747 2.5922204549882863 -1.409541327103355
2458592 19.622 0.27 zg 431 51.43115161803035 12.789857127368874 -6.267741682980478
2458617 19.532 0.062 zg 431 55.876120969962535 3.19075617535424 -1.8227723310482915
2458633 19.492 0.043 zg 431 57.973063272020745 2.295992074108116 0.27416997100991836
2458639 19.438 0.041 zg 431 60.929308452744635 2.300836644863505 3.2304151517338084
2458642 19.522 0.041 zg 431 56.39313635170469 2.1295399198141003 -1.3057569493061365
2458645 19.38 0.074 zg 431 64.27265627650559 4.380600502790594 6.573762975494759
2458648 19.554 0.165 zg 431 54.75531086082297 8.321198328325474 -2.9435824401878534
2458654 19.607 0.111 zg 431 52.14663020707044 5.331199169391499 -5.55226309394039
2458657 19.568 0.05 zg 431 54.053802303167586 2.489269588058418 -3.6450909978432406
2458660 19.66 0.134 zg 431 49.662233657385194 6.129241413269534 -8.036659643625633
2458665 19.579 0.045 zg 431 53.508927818202075 2.2177594716531575 -4.189965482808752
2458672 19.462 0.054 zg 431 59.59725389595465 2.964119365530861 1.8983605949438243
2458682 19.691 0.111 zg 431 48.26432635174243 4.934292696112929 -9.434566949268394
2458692 19.498 0.049 zg 431 57.65357587430578 2.6019443815731624 -0.045317426705047126
2458707 19.387 0.153 zg 431 63.8596080886626 8.998981515719066 6.16071478765177
2458712 19.554 0.08 zg 431 54.75531086082297 4.034520401612351 -2.9435824401878534
2458718 19.549 0.056 zg 431 55.00804989238484 2.8372000311620686 -2.6908434086259874
2458723 19.613 0.071 zg 431 51.85925206549651 3.391253677011256 -5.839641235514314
2458728 19.456 0.064 zg 431 59.927512189034246 3.5324978234032454 2.2286188880234192
2458729 19.516 0.074 zg 431 56.70563902146572 3.8648589493460417 -0.9932542795451056
2458761 19.357 0.138 zg 431 65.64871790711439 8.344129109335528 7.949824606103562
2458886 19.452 0.172 zg 431 60.14870049673709 9.528628077520427 2.4498071957262653
2458893 19.847 0.147 zg 431 41.80480951659767 5.660036915052357 -15.894083784413155
2458901 19.743 0.155 zg 431 46.00724724969732 6.568007304584352 -11.691646051313505
2458913 19.521 0.045 zg 431 56.445100276347034 2.339453636439674 -1.2537930246637927
2458915 19.523 0.121 zg 431 56.341220265571586 6.2789539689826 -1.357673035439241
2458939 19.34 0.225 zg 431 66.68470724697836 13.819249155380797 8.985813945967536
2458943 19.471 0.077 zg 431 59.10527589695876 4.191723757687236 1.4063825959479317
2458954 19.643 0.072 zg 431 50.445943473861526 3.345295030414094 -7.252949827149301
2458963 19.475 0.046 zg 431 58.887924635102614 2.4949380165674517 1.189031334091787
2458963 19.618 0.055 zg 431 51.62098044579362 2.614957401324874 -6.077912855217207
2458966 19.563 0.04 zg 431 54.30330331834904 2.000607627538634 -3.3955899826617895
2458972 19.556 0.052 zg 431 54.65454069203252 2.6176119977677397 -3.0443526089783077
2458975 19.487 0.185 zg 431 58.240654773880735 9.923700698152722 0.5417614728699078
2458986 19.498 0.042 zg 431 57.65357587430578 2.230238041348425 -0.045317426705047126
2458995 19.506 0.044 zg 431 57.23032983923688 2.3192875966472815 -0.4685634617739467
2459009 19.614 0.09 zg 431 51.81150991864659 4.2948147738307965 -5.887383382364234
2459018 19.658 0.054 zg 431 49.753799181581236 2.4745468964110917 -7.945094119429591
2459024 19.545 0.079 zg 431 55.21108080458674 4.017251487467904 -2.487812496424084
2459027 19.505 0.065 zg 431 57.2830652027834 3.4293774324403103 -0.41582809822742917
2459033 19.645 0.174 zg 431 50.35310414633821 8.06958456673612 -7.345789154672616
2459036 19.545 0.119 zg 431 55.21108080458674 6.051302873527602 -2.487812496424084
2459039 19.501 0.04 zg 431 57.49449303933815 2.1181754016260794 -0.20440026167267433
2459042 19.468 0.062 zg 431 59.26881564405766 3.384492986259203 1.5699223430468336
2459045 19.517 0.04 zg 431 56.653435242245074 2.087189687291153 -1.0454580587657532
2459048 19.426 0.047 zg 431 61.606459236500164 2.6668573557980797 3.9075659354893375
2459249 19.606 0.106 zg 431 52.19468115329788 5.095746257703626 -5.504212147712948
2459253 19.569 0.055 zg 431 54.004039831389484 2.735675735698711 -3.694853469621343
2459257 19.5 0.046 zg 431 57.54747181826294 2.438146293767381 -0.15142148274788525
2459264 19.581 0.052 zg 431 53.410451458498265 2.55802787423914 -4.288441842512562
2459269 19.598 0.05 zg 431 52.58068612499535 2.4214300810162634 -5.118207176015474
2459270 19.516 0.189 zg 431 56.70563902146572 9.87105866792435 -0.9932542795451056
2459277 19.467 0.116 zg 431 59.323429387307804 6.338112129603994 1.6245360862969775
2459303 19.855 0.281 zg 431 41.497912336216594 10.740098115337858 -16.200980964794233
2459306 19.301 0.109 zg 431 69.12358416755481 6.939503943263949 11.424690866543983
2459308 19.426 0.056 zg 431 61.606459236500164 3.1775321686104783 3.9075659354893375
2459310 19.529 0.044 zg 431 56.03072589403438 2.2706730498010073 -1.668167406976444
2459312 19.395 0.049 zg 431 63.39080237254349 2.860869244888625 5.691909071532663
2459319 19.497 0.049 zg 431 57.70670124143244 2.6043419648699135 0.007807940421614035
2459322 19.547 0.056 zg 431 55.10947184932191 2.8424311633317303 -2.5894214516889136
2459324 19.614 0.05 zg 431 51.81150991864659 2.386008207683776 -5.887383382364234
2459328 19.337 0.115 zg 431 66.86921869698081 7.082715042984032 9.170325395969982
2459334 19.566 0.14 zg 431 54.15346485110765 6.982805810407701 -3.545428449903177
2459336 19.554 0.072 zg 431 54.75531086082297 3.6310683614511157 -2.9435824401878534
2459339 19.523 0.044 zg 431 56.341220265571586 2.2832559887209456 -1.357673035439241
2459341 19.649 0.054 zg 431 50.16793775368565 2.4951444253464197 -7.530955547325178
2459343 19.518 0.052 zg 431 56.60127952234631 2.7108486594289105 -1.0976137786645168
2459345 19.46 0.04 zg 431 59.707137269934066 2.1996922275695905 2.0082439689232388
2459349 19.569 0.038 zg 431 54.004039831389484 1.8901032355736547 -3.694853469621343
2459358 19.543 0.162 zg 431 55.31287710296088 8.253096886159234 -2.386016198049944
2459361 19.363 0.142 zg 431 65.28693026189266 8.538670863659751 7.588036960881837
2459365 19.549 0.062 zg 431 55.00804989238484 3.141185748786576 -2.6908434086259874
2459367 19.488 0.048 zg 431 58.18703784378428 2.5724276341358996 0.48814454277345476
2459370 19.567 0.048 zg 431 54.10361062898952 2.391900812380138 -3.5952826720213054
2459373 19.67 0.055 zg 431 49.206927562465985 2.4926690333021844 -8.491965738544842
2459375 19.491 0.048 zg 431 58.026483033467926 2.5653295647693155 0.3275897324570991
2459379 19.635 0.055 zg 431 50.81901568261165 2.574332374931069 -6.879877618399178
2459383 19.549 0.094 zg 431 55.00804989238484 4.762442909450615 -2.6908434086259874
2459385 19.356 0.098 zg 431 65.70921046438087 5.931001100717517 8.010317163370047
2459387 20.03 0.442 zg 431 35.32045169534157 14.37885149350693 -22.37844160566926
2459391 19.499 0.126 zg 431 57.60049941492443 6.68455458561159 -0.09839388608639865
2459393 19.431 0.057 zg 431 61.32340326785806 3.219413676130097 3.624509966847235
2459395 19.571 0.066 zg 431 53.90465228114786 3.276769287939802 -3.794241019862966
2459397 19.635 0.058 zg 431 50.81901568261165 2.714750504472764 -6.879877618399178
2459400 19.496 0.049 zg 431 57.75987556137047 2.606741757439734 0.06098226035964416
2459402 19.511 0.056 zg 431 56.96738035879116 2.938258193944065 -0.7315129422196662
2459406 19.568 0.063 zg 431 54.053802303167586 3.136479680953607 -3.6450909978432406
2459410 19.457 0.066 zg 431 59.87234232110661 3.6395347008561187 2.173449020095781
2459412 19.62 0.094 zg 431 51.52597861253085 4.460974929593398 -6.1729146884799775
2459425 19.623 0.075 zg 431 51.383803584740136 3.5494674046666996 -6.315089716270691
2459427 19.467 0.072 zg 431 59.323429387307804 3.934000632167996 1.6245360862969775
2459430 19.548 0.072 zg 431 55.058737517586515 3.6511899335155213 -2.640155783424312
2459435 19.564 0.05 zg 431 54.253311153437245 2.498457310149444 -3.4455821475735817
2459440 19.594 0.091 zg 431 52.77475780521388 4.423268690155102 -4.924135495796946
2459443 19.675 0.246 zg 431 48.980842266902826 11.097803633012616 -8.718051034108
2459447 19.713 0.209 zg 431 47.296200004623074 9.104334697182075 -10.402693296387753
2459450 19.374 0.184 zg 431 64.62882332055463 10.952663675456213 6.929930019543804
2459451 19.393 0.155 zg 431 63.507680161176346 9.066373933045018 5.808786860165519
2459454 19.643 0.071 zg 431 50.445943473861526 3.2988325994361207 -7.252949827149301
2459457 19.521 0.066 zg 431 56.445100276347034 3.431198666778189 -1.2537930246637927
2459462 19.432 0.061 zg 431 61.26694832862291 3.4421656307192556 3.5680550276120826
2459468 19.524 0.068 zg 431 56.28935197390747 3.5254198187840697 -1.409541327103355
2459476 19.501 0.161 zg 431 57.49449303933815 8.52565599154497 -0.20440026167267433
2459478 19.35 0.188 zg 431 66.07333817612833 11.440889161358804 8.374444875117504
2459641 19.588 0.051 zg 431 53.067209223543784 2.492712003652532 -4.6316840774670425
2459674 19.601 0.052 zg 431 52.435600855149396 2.511338603722059 -5.263292445861431
2459678 19.554 0.05 zg 431 54.75531086082297 2.52157525100772 -2.9435824401878534
2459682 19.579 0.105 zg 431 53.508927818202075 5.1747721005240335 -4.189965482808752
2459684 19.512 0.125 zg 431 56.91493561787388 6.552574116121614 -0.783957683136947
2459690 19.43 0.099 zg 431 61.37991022796688 5.596765665489081 3.6810169269560546
2459698 19.508 0.052 zg 431 57.125004713561204 2.735931833245741 -0.5738885874496233
2459700 19.481 0.054 zg 431 58.5633954704072 2.9126995503539326 0.8645021693963741
2459702 19.538 0.05 zg 431 55.56818974336265 2.55900970695463 -2.130703557648175
2459710 19.521 0.061 zg 431 56.445100276347034 3.171259373840447 -1.2537930246637927
2459712 19.442 0.108 zg 431 60.70524957009407 6.038452917788335 3.0063562690832413
2459717 19.901 0.234 zg 431 39.776470941897415 8.57270316639895 -17.922422359113412
2459722 19.533 0.061 zg 431 55.82468085336806 3.1364023020804166 -1.874212447642769
2459724 19.546 0.05 zg 431 55.16025293062946 2.540223522476971 -2.5386403703813656
2459735 19.62 0.044 zg 431 51.52597861253085 2.0881159244905265 -6.1729146884799775
2459741 19.776 0.173 zg 431 44.629934443814676 7.111284145212739 -13.06895885719615
2459743 19.133 0.146 zg 431 80.69121389465708 10.850625756966794 22.992320593646255
2459749 19.458 0.053 zg 431 59.8172232431122 2.919966026730407 2.1183299421013757
2459751 19.413 0.05 zg 431 62.348534364206074 2.8712561159409584 4.649641063195247
2459753 19.536 0.045 zg 431 55.67064446695762 2.3073551292057854 -2.0282488340532083
2459756 19.57 0.05 zg 431 53.95432317144118 2.484688404742874 -3.744570129569645
2459759 19.522 0.049 zg 431 56.39313635170469 2.545059904168071 -1.3057569493061365
2459769 19.502 0.099 zg 431 57.441563033207956 5.2376578356382835 -0.25733026780287105
2459769 19.308 0.084 zg 431 68.67936149446672 5.313506485509881 10.980468193455891
2459771 19.736 0.154 zg 431 46.30482518155271 6.5678412921190965 -11.394068119458119
2459771 19.498 0.134 zg 431 57.65357587430578 7.1155213700164035 -0.045317426705047126
2459781 19.646 0.068 zg 431 50.30674857434765 3.1507274861647527 -7.392144726663176
2459783 19.511 0.055 zg 431 56.96738035879116 2.8857892976236355 -0.7315129422196662
2459785 19.481 0.05 zg 431 58.5633954704072 2.6969440281054933 0.8645021693963741
2459787 19.5 0.055 zg 431 57.54747181826294 2.915174916460999 -0.15142148274788525
2459789 19.591 0.054 zg 431 52.92078149622443 2.632059415788513 -4.778111804786398
2459793 19.375 0.053 zg 431 64.56932537851328 3.1519389609224326 6.870432077502457
2459798 19.557 0.119 zg 431 54.6042251744769 5.984789645299058 -3.094668126533925
2459806 19.54 0.055 zg 431 55.46592357462444 2.8097301934257 -2.2329697263863864
2459808 19.504 0.081 zg 431 57.33584915976915 4.277469758849845 -0.36304414124168005
2459808 19.491 0.059 zg 431 58.026483033467926 3.15321759002895 0.3275897324570991
2459808 19.575 0.067 zg 431 53.7064255743876 3.3141848800055196 -3.992467726623225
2459808 19.564 0.072 zg 431 54.253311153437245 3.5977785266151994 -3.4455821475735817
2459808 19.459 0.062 zg 431 59.76215490829291 3.4126646860224983 2.0632616072820866
2459808 19.494 0.065 zg 431 57.86637124015452 3.4642983388842192 0.16747793914369424
2459808 19.555 0.069 zg 431 54.704902573240595 3.4765703317358576 -2.993990727770232
2459808 19.553 0.065 zg 431 54.805765597541196 3.281068410750631 -2.8931277034696308
2459808 19.595 0.071 zg 431 52.726172834610914 3.4479445880607167 -4.972720466399913
2459808 19.436 0.061 zg 431 61.0416478232584 3.4295075552429046 3.3427545222475743
2459808 19.476 0.058 zg 431 58.833711821889416 3.1428953651128912 1.1348185208785893
2459808 19.559 0.07 zg 431 54.50373305963001 3.5139855311576635 -3.195160241380819
