
id t_peak peak_flux_ref T0 sigma_rise t_decay flares_present
101562193961667624_0 0.6761546723952739 79 3530634 81 19 False
101562193961667624_1 0.24167561761546724 96 9142355 209 118 True
101562193961667624_2 0.8721804511278195 38 1589666 326 329 False
101562193961667624_3 0.6122448979591837 91 3803929 197 271 False
101562193961667624_4 0.39849624060150374 90 2473410 283 319 True
102260164187664060_0 0.558372641509434 96 1696392 302 166 True
102260164187664060_1 0.12971698113207547 25 2630781 344 206 False
102260164187664060_2 0.6509433962264151 23 1594060 243 7 False
102260164187664060_3 0.22169811320754718 4 9577398 2 293 False
102260164187664060_4 0.455188679245283 31 7780652 32 50 True
102780430868110572_0 0.27320799059929496 27 980681 252 303 False
102780430868110572_1 0.9982373678025852 22 5023599 73 204 False
102780430868110572_2 0.7473560517038778 50 6853159 53 210 False
102780430868110572_3 0.4935370152761457 2 9700836 263 119 False
102780430868110572_4 0.23207990599294948 21 6185978 345 51 False
103140555831174271_0 0.3307600950118765 24 4624012 125 330 False
103140555831174271_1 0.058788598574821854 67 1225187 168 11 True
103140555831174271_2 0.14667458432304037 72 6797737 208 223 True
103140555831174271_3 0.6312351543942993 6 4152238 308 20 False
103140555831174271_4 0.46080760095011875 89 7349341 135 102 True
103190494453007900_0 0.9079497907949791 16 4765086 148 340 False
103190494453007900_1 0.32456664674237895 83 5787426 15 30 True
103190494453007900_2 0.356246264196055 51 2989206 315 45 False
103190494453007900_3 0.40107591153616257 42 5320926 222 131 True
103190494453007900_4 0.8326359832635983 0 2283630 217 262 False
103252221444466372_0 0.631578947368421 6 5530012 275 16 False
103252221444466372_1 0.5252416756176155 52 1331005 353 220 False
103252221444466372_2 0.5719656283566058 4 5223494 324 360 False
103252221444466372_3 0.8297529538131042 13 3421452 292 82 False
103252221444466372_4 0.05316863587540279 0 757144 72 362 False
103422302038123249_0 0.7736757624398074 13 9714763 296 208 False
103422302038123249_1 0.9689673622257892 58 4651177 117 237 False
103422302038123249_2 0.8924558587479936 64 8915811 114 266 False
103422302038123249_3 0.680577849117175 38 3982943 74 205 False
103422302038123249_4 0.8662386302835741 52 2294906 279 142 False
103661510464503659_0 0.9656468062265163 53 1644178 135 10 True
103661510464503659_1 0.48523886205045624 4 2803885 289 204 False
103661510464503659_2 0.5974235104669887 93 9334056 356 257 True
