id t_peak peak_flux_ref T0 sigma_rise t_decay flares_present
106721973533081384 0.20674879485806105 4 2825051 179 288 False
106721973647966739 0.9389394750937332 35 7996378 321 47 False
106721987211138843 0.2592394215318693 187 8913570 260 185 True
106722048306613987 0.5432563138097797 45 9897000 166 299 False
106722125027975007 0.6159614354579539 0 1852153 195 13 False
106731879481960764 0.6902071563088512 3 9477245 267 94 False
106731933514466690 0.2647690655209452 96 7692295 345 278 False
106731979088771183 0.29619710765934654 169 758011 216 170 True
106731998784845153 0.4874129619710766 168 1575109 276 318 True
106732036492886959 0.809478672985782 135 4784242 10 158 False
106732048797080672 0.5153143471252015 32 6900555 121 19 False
106732073693984492 0.5675422138836773 170 8703110 56 23 False
106732081698606957 0.8815931108719053 81 8362469 300 126 True
106732106332901884 0.6207820032137118 6 7606839 55 254 False
106741928632030326 0.7121374865735768 160 3433810 15 310 False
106741981094530741 0.2635243706480985 22 8699940 324 36 False
106742088383751273 0.6146393972012917 55 5488889 80 190 True
106882455545655894 0.24008243173621843 150 9677662 267 308 True
106892439292617083 0.20224719101123595 5 4145568 171 35 False
106892479367980001 0.22050489438433796 160 13355 59 332 True
106922490447086178 0.12383612662942271 141 819066 233 280 False
106922496394954563 0.6743946419371458 39 9697227 338 91 False
107002059169200244 0.5010764262648009 197 3964703 68 148 True
107210711648187728 0.2978723404255319 140 4852152 331 172 True
107432393827899251 0.33975387907972177 34 73168 243 80 False
107452442849043868 0.9341894060995185 96 6986803 58 353 False
107462429548554701 0.17495987158908508 14 8063015 165 306 False
107492398860971932 0.9202782236490101 91 981407 341 156 True
107512000944537870 0.044456347080878415 131 9164479 267 355 False
107521996833387429 0.2313872522763792 162 8948524 308 327 True
107522020591206035 0.647027316550616 146 5194116 295 145 True
107522025593877508 0.10926620246384575 37 8803679 177 341 False
107531984276789267 0.5661080074487895 27 3144553 229 136 False
107531996978093214 0.4659882163899304 173 8818391 47 203 True
107532031510143049 0.5947712418300654 111 3761972 146 344 False
107541205736995868 0.037614185921547555 48 7265038 125 92 False
107542009127971697 0.01821103374397429 130 3165343 133 80 False
107542027646080441 0.14193893947509373 74 1808452 247 44 True
107551991786966850 0.022495982860203535 170 9328496 281 257 False
107551997521713123 0.2897696839850027 172 680934 219 203 True
107552020508055281 0.05034815211569363 135 3429928 153 100 True
107552027738023375 0.7659346545259775 116 2762809 35 74 True
107562009816046041 0.9271558650241029 38 9304435 231 49 False
107562013808295755 0.30101767541510444 154 4982530 285 58 True
107571983675673123 0.4970540974825924 23 1762108 319 118 False
107571985011529675 0.49062667380824854 188 8299281 87 318 True
107572026682792765 0.2613818960899839 31 5366551 262 47 False
107582032470845932 0.8823529411764706 197 9705162 293 109 False
107592004796631727 0.8698446705945367 179 2334648 210 230 True
107592009009979640 0.24799143010176755 17 423733 75 48 False
107592009547409962 0.8044991965720407 19 3886293 154 72 False
107592012700390729 0.21880819366852886 3 7236524 162 152 False
107592029133355061 0.1483663631494376 114 6753515 91 107 True
107602003183749142 0.6031065881092662 16 6005885 213 160 True
107612022229553228 0.09105516871987145 78 5231262 179 174 True
107612034541880481 0.24074074074074073 20 2653931 225 14 False
107621994927513505 0.5484734868773433 76 6798731 87 99 True
107622004799734074 0.9667916443492234 122 1654499 326 354 False
107622024943981380 0.23352972683449383 64 5702120 123 111 True
107631995052228499 0.9255490091055169 83 195816 200 295 True
107632005074395667 0.023031601499732192 94 7209830 111 165 True
107632019840927130 0.2629887520085699 72 7140008 215 50 False
107642024523667514 0.8634172469201928 119 5904006 302 180 True
107652007697478665 0.9528655597214784 39 9984139 338 8 False
107652016183182036 0.8939475093733262 103 4936957 43 266 False
107652019718119466 0.3968934118907338 16 8971030 357 155 False
107661203362870241 0.6657710908113917 120 1782511 263 247 True
107662006613682104 0.550615961435458 180 9177124 174 269 True
107672000455347518 0.28655597214783074 40 6575505 104 206 False
107672034614154577 0.16230936819172112 130 4877978 320 275 True
107682031264603597 0.49074074074074076 145 5240996 302 239 True
107721995819955873 0.8269951794322442 16 4359896 279 272 False
107721996564908062 0.5886448848419925 83 851617 155 325 True
107721997313120839 0.13015532940546332 183 5246823 4 179 True
107722000990985131 0.48044991965720407 72 1037310 127 41 False
107722006985222782 0.5050883770755222 40 4092746 33 231 False
107722017041778488 0.6893411890733797 117 4862641 63 29 False
107722025392079258 0.7321906802356722 148 3785010 312 118 True
107731984621497288 0.7407605784681307 61 9242881 91 69 False
107731995681259091 0.6422067487948581 26 6963460 125 306 False
107732007917726885 0.8275307980717729 29 8231807 220 329 False
107732013723615680 0.7509373326191752 200 2441342 111 54 True
107772391165469656 0.9628597957288765 34 4649340 149 33 False
107790860206078719 0.4771410173857051 82 838038 121 78 True
107810860771562582 0.373342175066313 10 357046 154 354 False
107812389318557453 0.1819154628143392 161 3012981 10 47 True
107850878868381819 0.02446877012234385 169 2855659 264 284 False
107852389774610282 0.2669876939539861 180 4602088 101 47 True
107882390184989688 0.8651685393258427 168 9249043 222 347 False
107892461047280792 0.8887171561051005 21 188203 26 264 False
107902401514627988 0.5446762974852862 44 7346712 207 147 True
107912396400100978 0.20224719101123595 175 2922899 147 307 True
107912424353686362 0.14446227929373998 79 3989218 44 31 False
107912442115239434 0.44997324772605674 140 6661956 61 8 True
107932390023147899 0.5302300695559122 165 9177622 189 286 True
107932429752144486 0.012841091492776886 186 1097472 90 182 False
107932430763868913 0.7319422150882825 161 1078425 183 182 True
107942429280937202 0.9737827715355806 173 9060873 274 74 True
107952426479290616 0.7105403959336544 185 6849808 81 231 True
107952429441689079 0.0149812734082397 134 6459521 319 341 False
107952435423055026 0.11663991439272338 48 3482069 302 354 False
107962435832082551 0.9443552701979668 174 4936164 21 212 False
107972391121044279 0.002785515320334262 144 438846 281 341 False
107972424462198224 0.10754414125200643 60 4470590 197 156 False
107980875353527624 0.396541443053071 146 1136984 95 72 True
108002051322167837 0.3030628694250403 36 3668385 151 155 False
108002446682403069 0.9526462395543176 97 1965747 25 300 False
108012030429477959 0.9738562091503268 12 2408058 247 344 False
108012055326622714 0.27182190978324544 146 4519918 279 351 True
108012157574973738 0.6005361930294906 118 9248369 36 289 True
108012212057979301 0.8920515574650913 198 2594719 254 257 True
108012233961562928 0.6682242990654206 188 2046334 137 321 False
108012338160531194 0.6907437132156233 39 3611868 290 362 False
108020577883271439 0.25407779171894607 162 9323804 177 258 True
108020580002120104 0.8117421825143587 116 1386211 14 127 False
108022034851636666 0.6214596949891068 30 5508526 255 295 False
108022047611404010 0.8409457281031704 55 9250116 348 23 False
108022050580038294 0.9167114454594304 191 3051459 118 51 True
108022066807372709 0.5656620021528526 19 9823763 297 357 False
108022081536637560 0.728740581270183 48 8132119 301 84 False
108022096918037702 0.22120559741657697 122 5832989 3 151 True
108022127558785830 0.7766470273165507 25 6024027 120 176 False
108022136496725316 0.8612747723620782 153 8930581 109 28 False
108022234085305620 0.3485981308411215 42 754485 62 357 True
108022245342485925 0.24986623863028357 17 2801465 181 192 False
108022246679605827 0.8389513108614233 90 5945800 20 91 True
108022259714902361 0.03745318352059925 119 433481 315 278 False
108022280205706021 0.004815409309791332 46 4901598 133 312 False
108022284796413340 0.6190476190476191 149 2881116 30 99 True
108022307859951225 0.11396468699839486 93 8236597 204 209 True
108022308823470572 0.3172819689673622 8 8546998 271 54 False
108022318887271499 0.7255216693418941 130 4082029 59 232 True
108032035312115062 0.45697167755991286 123 6861820 346 208 False
108032035680905205 0.17374727668845316 86 9953038 52 197 True
108032039805751040 0.3982777179763186 5 7658176 29 361 False
108032051183013380 0.8887694787748522 47 3910534 269 342 False
108032061180796002 0.5807319698600646 195 2218081 179 249 True
108032310918265520 0.3130016051364366 10 1814178 166 351 False
108040578949379817 0.6949585194639438 200 10666 267 70 False
108040579679561227 0.021059349074664963 136 643746 241 150 False
108042039995719434 0.12809472551130247 72 8710520 247 93 True
108042046583082179 0.11038353601496725 179 1473501 200 55 True
108042050714882332 0.26706072004298764 187 4244836 275 47 True
108042061631528735 0.47416576964477936 29 2032391 100 362 False
108042085999040286 0.20613562970936491 120 523031 100 10 True
108042096732024328 0.921875 195 6228989 202 346 True
108042097726504788 0.0032292787944025836 12 9417727 30 325 False
108042114757023074 0.06373861810391002 80 4757301 307 97 False
108042144457747105 0.7104283054003724 41 5621003 290 23 False
108042229208508976 0.2639784946236559 180 8705874 109 112 True
108042231998700110 0.1456989247311828 119 2890191 228 209 True
108042269063968611 1.0 186 2824751 346 122 False
108042275441572952 0.13964686998394862 141 4822323 180 231 True
108042290336240833 0.48742643124665597 154 7135620 51 189 True
108042325302743030 0.5243445692883895 173 5271277 258 75 True
108052033395206949 0.9760348583877996 74 9192372 135 162 False
108052050094654830 0.6125738850080602 157 3899582 151 289 True
108052083594536431 0.7687203791469195 66 6423090 217 189 False
108052083628498027 0.5938086303939962 151 2552981 209 207 False
108052118074978674 0.3470808784145688 153 8913969 21 150 True
108052144626749682 0.7458100558659218 30 4823147 26 161 False
108052157511263851 0.16621983914209115 44 2438000 307 94 False
108052229169056111 0.5349462365591398 68 2050354 239 247 True
108060573175209764 0.5344418052256532 132 6043949 106 187 True
108060574122053154 0.13717339667458434 10 3552259 186 99 False
108060574584783133 0.25593824228028506 49 456059 252 16 True
108062063363129237 0.6883745963401507 106 682437 109 353 False
108062077620175452 0.9989235737351991 63 1707697 70 92 False
108062121127228755 0.483663631494376 97 8572284 285 357 True
108062131219013718 0.6663095875736476 165 4713077 340 80 True
108062254025261790 0.8892455858747994 182 650219 104 9 True
108062254545358134 0.9727126805778491 84 1801525 69 264 False
108062269101023947 0.1647940074906367 179 9733104 349 142 True
108062285556490445 0.29159978598180847 188 927645 61 186 True
108072031363893508 0.5882352941176471 18 8466082 108 119 False
108072080986844964 0.47255113024757806 16 6470897 238 98 False
108072088145180717 0.21044133476856836 81 939368 339 140 True
108072124416545192 0.3015532940546331 169 1676526 6 228 True
108072175304166146 0.31954887218045114 95 2550881 245 161 True
108072193248244538 0.7046186895810956 26 8728917 170 35 False
108072193830333461 0.4113856068743287 165 7238140 174 81 True
108072212931524845 0.9806659505907627 26 2190120 88 273 False
108072229326955844 0.4790322580645161 30 5906160 274 332 False
108072325417220374 0.4055644729802033 66 5922754 308 47 False
108072326682671231 0.5981808453718566 26 7936651 3 112 True
108080570136603686 0.20708955223880596 63 3578205 319 248 True
108080575096310978 0.9982185273159145 28 4740060 250 278 False
108082052719527823 0.34712520150456744 66 2653699 198 320 False
108082066434415573 0.2658772874058127 67 166368 133 27 False
108082079394659355 0.06189451022604951 112 3683311 249 357 False
108082122080858832 0.6743438671665773 142 4230675 245 161 True
108082278860257761 0.06313536650615302 17 439209 150 251 False
108082282078070127 0.5013376136971642 60 7800975 5 88 False
108082290566356918 0.5286249331193151 45 7727491 189 259 True
108090574883901191 0.2814726840855107 25 2701947 5 286 True
108090576139848895 0.8889548693586699 79 2353852 364 73 True
108090579442033077 0.9266113592852585 108 3993961 308 333 False
108092081423460481 0.48708288482238965 15 8008326 325 111 False
108092130908972793 0.2495982860203535 53 6341503 23 100 True
108092157893631350 0.6900804289544236 29 8690583 34 142 False
108092174341757980 0.3979591836734694 70 618683 293 187 True
108092194070241876 0.34210526315789475 160 4907587 203 26 True
108092194381584955 0.06498388829215897 9 6696007 266 18 False
108092211143519545 0.5687432867883996 142 6706869 104 241 True
108092228691418081 0.6897849462365592 28 3246451 186 162 False
108092276043356527 0.4756554307116105 35 710583 315 93 False
108092327229776278 0.5147137506688069 130 9616621 117 163 True
108100578998689440 0.12125079770261646 147 6105992 172 178 True
108102081012456937 0.9429494079655544 174 9898129 301 102 True
108102088405774368 0.051130247578040904 131 5628838 70 17 False
108102128014103516 0.5977504017139796 13 790212 133 51 False
108102191341977147 0.07894736842105263 70 9454989 41 272 True
108102192164736764 0.888829215896885 44 5418497 70 335 False
108102290747687317 0.7784911717495987 122 5681387 178 282 True
108112061900531096 0.5791173304628633 160 4087682 66 249 True
108112108333122304 0.4708087841456883 28 7788363 261 174 False
108112131174646268 0.7080878414568827 2 1372967 291 239 False
108112131359838532 0.8339582217461168 86 4468294 353 77 True
108112157648287873 0.788739946380697 55 4661628 168 234 True
