id t_peak peak_flux_ref T0 sigma_rise t_decay flares_present
106491984653156966_0 0.1521156936261382 142 479634 178 110 True
106491984653156966_1 0.35725763256561327 116 143148 356 348 True
106491984653156966_2 0.15372254954472417 83 3560505 257 219 True
106491984653156966_3 0.5682913765399036 23 6968969 128 329 False
106492039700627628_0 0.32884822389666307 166 7755603 88 197 True
106492039700627628_1 0.27502691065662 93 4120569 77 3 False
106492039700627628_2 0.4343379978471475 81 712967 157 13 False
106492039700627628_3 0.310010764262648 26 8779353 259 199 False
106501979326380415_0 0.18746652383502946 63 9902612 183 327 True
106501979326380415_1 0.07927155865024103 86 789405 38 219 True
106501979326380415_2 0.3492233529726835 105 3687947 68 230 False
106501979326380415_3 0.8510980182110337 82 322124 295 177 False
106501990396805149_0 0.6786288162828067 150 6280088 225 237 True
106501990396805149_1 0.1724692019282271 12 1378345 82 46 False
106501990396805149_2 0.42420996250669524 127 9198406 3 94 False
106501990396805149_3 0.1521156936261382 20 6790497 126 318 False
106502114722015605_0 0.03802892340653455 55 3453329 6 306 False
106502114722015605_1 0.37332619175147297 36 1149514 331 24 False
106502114722015605_2 0.1687198714515265 182 509119 294 283 True
106502114722015605_3 0.9469737546866631 33 2525692 242 248 False
106502137929336156_0 0.6818425281199786 42 8979732 171 90 False
106502137929336156_1 0.30316014997321905 157 5827261 106 83 True
106502137929336156_2 0.21317621853240493 26 8034 124 40 False
106502137929336156_3 0.4161756829137654 163 5774011 273 94 True
106511859371536248_0 0.8673139158576052 13 3078839 205 96 False
106511859371536248_1 0.6639697950377562 165 4958313 360 239 True
106511859371536248_2 0.34034519956850057 24 726683 120 60 False
106511859371536248_3 0.2680690399137001 188 3323953 292 38 True
106511929086972834_0 0.8426423200859291 32 2536593 58 118 False
106511929086972834_1 0.11600429645542427 195 3311961 364 92 True
106511929086972834_2 0.4113856068743287 16 1804077 212 324 False
106511929086972834_3 0.17132116004296455 72 999418 275 137 True
106511977699990424_0 0.256561328334226 32 2035375 307 300 False
106511977699990424_1 0.7702196036422068 7 7520947 310 92 False
106511977699990424_2 0.16068559185859668 166 779421 123 145 True
106511977699990424_3 0.6791644349223352 90 4755024 133 349 True
106511977836635265_0 0.9705409748259239 137 4451532 206 20 True
106511977836635265_1 0.273701124799143 195 2099480 33 249 True
106511977836635265_2 0.7755757900374933 91 2490111 220 296 True
106511977836635265_3 0.7814675950723086 136 1589414 362 238 True
106511979665151857_0 0.17782538832351366 195 1664640 79 159 True
106511979665151857_1 0.8794858061060525 171 8419968 33 75 True
106511979665151857_2 0.8018211033743974 26 6677930 334 111 False
106511979665151857_3 0.8478843063738618 59 7821121 78 25 False
106511985005942390_0 0.3915372254954472 112 7987285 126 126 True
106511985005942390_1 0.2876272094268881 178 7592128 284 200 True
106511985005942390_2 0.8468130690948045 199 525824 26 321 True
106511985005942390_3 0.8650241028387788 111 2758702 211 240 True
106512042953454162_0 0.22335844994617868 199 3867534 9 73 True
106512042953454162_1 0.7438105489773951 37 8016096 160 313 False
106512042953454162_2 0.19860064585575887 141 246670 206 152 True
106512042953454162_3 0.2814854682454252 28 1620612 130 75 False
106512048397832466_0 0.9570123589468028 104 1100035 158 282 True
106512048397832466_1 0.37614185921547555 89 5085645 18 196 True
106512048397832466_2 0.19344438473938744 43 8113034 313 258 False
106512048397832466_3 0.8839333691563676 179 6970891 226 292 True
106512124848542383_0 0.5522228173540439 38 6881617 173 269 False
106512124848542383_1 0.758971612212105 24 4734785 115 128 False
106512124848542383_2 0.9196572040707016 1 4693133 220 211 False
106512124848542383_3 0.3802892340653455 131 8130804 118 162 True
106521850519697742_0 0.40053763440860213 93 1598507 179 166 True
106521850519697742_1 0.8693548387096774 158 5712143 32 105 True
106521850519697742_2 0.9370967741935484 79 6657417 148 18 True
106521850519697742_3 0.5510752688172043 19 7654120 205 13 False
106521943694895702_0 0.0 140 2193688 150 41 False
106521943694895702_1 0.4314147391070468 73 1948559 49 44 True
106521943694895702_2 0.2538999462076385 169 1745557 74 103 True
106521943694895702_3 0.3442711135018827 157 444156 42 337 True
106521978393732783_0 0.3395822174611676 5 9244962 259 365 False
106521978393732783_1 0.8805570433851098 91 2431844 6 327 False
106521978393732783_2 0.039100160685591856 186 6964995 224 272 False
106521978393732783_3 0.1156936261381896 193 6424986 221 27 True
106521979576961356_0 0.7905731119442957 141 3635806 159 338 True
106521979576961356_1 0.035886448848419926 176 8560320 71 148 True
106521979576961356_2 0.8580610605249063 30 9801012 229 187 False
106521979576961356_3 0.46170326727370115 8 4490616 336 271 False
106521982674919948_0 0.20353508302088913 23 4119102 168 102 False
106521982674919948_1 0.4884841992501339 180 3488722 164 74 True
106521982674919948_2 0.9791108730583824 73 6685126 94 87 False
106521982674919948_3 0.17943224424209964 1 8135747 324 58 False
106521987703984515_0 0.4268880557043385 134 8814125 107 234 True
106521987703984515_1 0.19710765934654526 21 5112955 12 172 False
106521987703984515_2 0.982860203535083 1 7967446 191 52 False
106521987703984515_3 0.2512051419389395 54 6676549 338 37 False
106522108369365608_0 0.9442956614890198 125 9051309 9 33 True
106522108369365608_1 0.20246384574183182 41 8674459 124 354 False
106522108369365608_2 0.7236207820032137 44 6523029 9 272 False
106522108369365608_3 0.7718264595607928 126 638170 220 290 True
106522115491236964_0 0.2806641671130155 142 3697967 84 160 True
106522115491236964_1 0.2517407605784681 34 1246090 42 60 False
106522115491236964_2 0.7659346545259775 10 3143274 88 202 False
106522115491236964_3 0.6223888591322978 197 7740991 248 256 True
106522130751128047_0 0.38136047134440276 52 2390719 310 290 False
106522130751128047_1 0.7595072308516336 10 2352835 202 344 False
106522130751128047_2 0.1049812533476165 56 8000140 47 248 False
106522130751128047_3 0.549009105516872 48 6640337 308 227 True
106522138607207288_0 0.919121585431173 108 3690194 80 201 True
106522138607207288_1 0.5479378682378147 5 3938939 256 126 False
106522138607207288_2 0.40224959828602036 42 7278692 56 231 False
106522138607207288_3 0.6941617568291376 89 2460587 24 117 False
106531942758238250_0 0.5255513717052178 161 3025446 70 211 True
106531942758238250_1 0.420656266810113 175 3100080 97 296 True
106531942758238250_2 0.8138784292630447 130 2175723 170 140 True
106531942758238250_3 0.06939214631522324 168 6997646 107 212 True
106531952271001449_0 0.1253362022592792 75 7354990 317 335 False
106531952271001449_1 0.7267348036578806 151 1468834 151 9 False
106531952271001449_2 0.5433028509951587 32 9953940 64 330 False
106531952271001449_3 0.056481979558902634 122 1530437 200 352 False
106531970885547860_0 0.740224959828602 151 7301484 8 254 False
106531970885547860_1 0.740224959828602 111 7797934 334 200 True
106531970885547860_2 0.3497589716122121 6 8382616 179 279 False
106531970885547860_3 0.9287627209426889 117 747839 211 295 True
106531983407641768_0 0.9528655597214784 99 6219936 222 326 False
