id t_peak peak_flux_ref T0 sigma_rise t_decay flares_present
106491984653156966_8 0.49973219068023567 86 21000 20 322 False
106491984653156966_9 0.49973219068023567 29 21000 20 291 False
106491984653156966_10 0.49973219068023567 11 21000 20 324 False
106491984653156966_11 0.49973219068023567 25 21000 20 136 False
106492039700627628_8 0.5 6 21000 20 87 False
106492039700627628_9 0.5 62 21000 20 47 False
106492039700627628_10 0.5 117 21000 20 52 False
106492039700627628_11 0.5 195 21000 20 261 True
106501979326380415_8 0.49973219068023567 141 21000 20 127 False
106501979326380415_9 0.49973219068023567 121 21000 20 281 False
106501979326380415_10 0.49973219068023567 108 21000 20 180 False
106501979326380415_11 0.49973219068023567 26 21000 20 34 False
106501990396805149_8 0.49973219068023567 29 21000 20 92 False
106501990396805149_9 0.49973219068023567 39 21000 20 192 False
106501990396805149_10 0.49973219068023567 158 21000 20 255 True
106501990396805149_11 0.49973219068023567 61 21000 20 323 False
106502114722015605_8 0.49973219068023567 116 21000 20 9 False
106502114722015605_9 0.49973219068023567 52 21000 20 104 False
106502114722015605_10 0.49973219068023567 4 21000 20 263 False
106502114722015605_11 0.49973219068023567 19 21000 20 183 False
106502137929336156_8 0.49973219068023567 41 21000 20 83 False
106502137929336156_9 0.49973219068023567 78 21000 20 24 False
106502137929336156_10 0.49973219068023567 42 21000 20 248 False
106502137929336156_11 0.49973219068023567 5 21000 20 191 False
106511859371536248_8 0.5 95 21000 20 248 True
106511859371536248_9 0.5 32 21000 20 252 False
106511859371536248_10 0.5 181 21000 20 249 True
106511859371536248_11 0.5 192 21000 20 201 True
106511929086972834_8 0.5 11 21000 20 249 False
106511929086972834_9 0.5 199 21000 20 95 True
106511929086972834_10 0.5 50 21000 20 70 False
106511929086972834_11 0.5 151 21000 20 120 True
106511977699990424_8 0.49973219068023567 13 21000 20 317 False
106511977699990424_9 0.49973219068023567 159 21000 20 267 False
106511977699990424_10 0.49973219068023567 127 21000 20 209 False
106511977699990424_11 0.49973219068023567 11 21000 20 40 False
106511977836635265_8 0.49973219068023567 141 21000 20 251 True
106511977836635265_9 0.49973219068023567 60 21000 20 201 False
106511977836635265_10 0.49973219068023567 22 21000 20 122 False
106511977836635265_11 0.49973219068023567 85 21000 20 156 False
106511979665151857_8 0.49973219068023567 172 21000 20 301 True
106511979665151857_9 0.49973219068023567 121 21000 20 2 False
106511979665151857_10 0.49973219068023567 133 21000 20 257 False
106511979665151857_11 0.49973219068023567 31 21000 20 349 False
106511985005942390_8 0.49973219068023567 86 21000 20 156 False
106511985005942390_9 0.49973219068023567 67 21000 20 157 False
106511985005942390_10 0.49973219068023567 138 21000 20 64 False
106511985005942390_11 0.49973219068023567 0 21000 20 167 False
106512042953454162_8 0.5 81 21000 20 80 False
106512042953454162_9 0.5 178 21000 20 147 True
106512042953454162_10 0.5 12 21000 20 192 False
106512042953454162_11 0.5 36 21000 20 207 False
106512048397832466_8 0.4997313272434175 56 21000 20 133 False
106512048397832466_9 0.4997313272434175 162 21000 20 196 True
106512048397832466_10 0.4997313272434175 104 21000 20 321 False
106512048397832466_11 0.4997313272434175 51 21000 20 354 False
106512124848542383_8 0.49973219068023567 12 21000 20 145 False
106512124848542383_9 0.49973219068023567 139 21000 20 323 True
106512124848542383_10 0.49973219068023567 89 21000 20 24 False
106512124848542383_11 0.49973219068023567 77 21000 20 348 False
106521850519697742_8 0.5 134 21000 20 357 True
106521850519697742_9 0.5 90 21000 20 335 True
106521850519697742_10 0.5 141 21000 20 302 True
106521850519697742_11 0.5 15 21000 20 239 False
106521943694895702_8 0.49973103819257664 57 21000 20 114 False
106521943694895702_9 0.49973103819257664 68 21000 20 7 False
106521943694895702_10 0.49973103819257664 78 21000 20 268 False
106521943694895702_11 0.49973103819257664 65 21000 20 319 False
106521978393732783_8 0.49973219068023567 113 21000 20 42 False
106521978393732783_9 0.49973219068023567 89 21000 20 218 False
106521978393732783_10 0.49973219068023567 80 21000 20 79 False
106521978393732783_11 0.49973219068023567 71 21000 20 354 False
106521979576961356_8 0.49973219068023567 153 21000 20 254 True
106521979576961356_9 0.49973219068023567 95 21000 20 190 True
106521979576961356_10 0.49973219068023567 196 21000 20 198 True
106521979576961356_11 0.49973219068023567 100 21000 20 234 True
106521982674919948_8 0.49973219068023567 77 21000 20 41 False
106521982674919948_9 0.49973219068023567 105 21000 20 255 True
106521982674919948_10 0.49973219068023567 47 21000 20 329 False
106521982674919948_11 0.49973219068023567 98 21000 20 65 True
106521987703984515_8 0.49973219068023567 184 21000 20 183 True
106521987703984515_9 0.49973219068023567 161 21000 20 343 True
106521987703984515_10 0.49973219068023567 170 21000 20 243 True
106521987703984515_11 0.49973219068023567 180 21000 20 342 True
106522108369365608_8 0.49973219068023567 149 21000 20 94 False
106522108369365608_9 0.49973219068023567 154 21000 20 305 False
106522108369365608_10 0.49973219068023567 166 21000 20 135 False
106522108369365608_11 0.49973219068023567 2 21000 20 173 False
106522115491236964_8 0.49973219068023567 47 21000 20 6 False
106522115491236964_9 0.49973219068023567 128 21000 20 337 True
106522115491236964_10 0.49973219068023567 79 21000 20 195 False
106522115491236964_11 0.49973219068023567 112 21000 20 188 False
106522130751128047_8 0.49973219068023567 17 21000 20 91 False
106522130751128047_9 0.49973219068023567 140 21000 20 317 True
106522130751128047_10 0.49973219068023567 41 21000 20 322 False
106522130751128047_11 0.49973219068023567 180 21000 20 259 True
106522138607207288_8 0.49973219068023567 118 21000 20 32 False
106522138607207288_9 0.49973219068023567 116 21000 20 200 False
106522138607207288_10 0.49973219068023567 68 21000 20 84 False
106522138607207288_11 0.49973219068023567 23 21000 20 303 False
106531942758238250_8 0.49973103819257664 118 21000 20 302 True
106531942758238250_9 0.49973103819257664 189 21000 20 85 False
106531942758238250_10 0.49973103819257664 48 21000 20 225 False
106531942758238250_11 0.49973103819257664 44 21000 20 170 False
106531952271001449_8 0.49973103819257664 53 21000 20 170 False
106531952271001449_9 0.49973103819257664 75 21000 20 341 False
106531952271001449_10 0.49973103819257664 66 21000 20 28 False
106531952271001449_11 0.49973103819257664 198 21000 20 75 True
106531970885547860_8 0.49973219068023567 158 21000 20 53 False
106531970885547860_9 0.49973219068023567 98 21000 20 341 False
106531970885547860_10 0.49973219068023567 92 21000 20 15 False
106531970885547860_11 0.49973219068023567 175 21000 20 237 False
106531983407641768_8 0.49973219068023567 62 21000 20 52 True
106531983407641768_9 0.49973219068023567 112 21000 20 93 False
106531983407641768_10 0.49973219068023567 6 21000 20 190 False
106531983407641768_11 0.49973219068023567 197 21000 20 153 False
106531988333891246_8 0.49973219068023567 184 21000 20 288 True
106531988333891246_9 0.49973219068023567 50 21000 20 179 False
106531988333891246_10 0.49973219068023567 158 21000 20 52 False
106531988333891246_11 0.49973219068023567 34 21000 20 311 False
106532035443418953_8 0.5 85 21000 20 312 True
106532035443418953_9 0.5 186 21000 20 106 True
106532035443418953_10 0.5 8 21000 20 292 False
106532035443418953_11 0.5 83 21000 20 192 False
106541976080560331_8 0.49973219068023567 177 21000 20 100 True
106541976080560331_9 0.49973219068023567 66 21000 20 161 False
106541976080560331_10 0.49973219068023567 100 21000 20 339 True
