jd mag magerr filt field
2458439 19.795 0.135 zr 1408
2458442 19.743 0.22 zr 1408
2458449 19.995 0.297 zr 1408
2458481 19.71 0.13 zr 1408
2458559 20.208 0.294 zr 1408
2458859 19.16 0.159 zr 1408
2458859 19.393 0.205 zr 1408
2459210 19.201 0.096 zr 1408
2459210 18.92 0.063 zr 1408
2459218 19.026 0.061 zr 1408
2459218 18.961 0.057 zr 1408
2459225 19.09 0.053 zr 1408
2459225 19.035 0.05 zr 1408
2459227 19.117 0.051 zr 1408
2459230 19.095 0.047 zr 1408
2459230 19.136 0.048 zr 1408
2459256 19.054 0.044 zr 1408
2459256 19.025 0.042 zr 1408
2459600 18.729 0.054 zr 1408
2459600 18.65 0.049 zr 1408
2459639 18.647 0.04 zr 1408
2459639 18.653 0.042 zr 1408
2459641 18.721 0.039 zr 1408
2459641 18.605 0.035 zr 1408
2458204 19.334 0.134 zg 414
2458207 19.136 0.2 zg 414
2458207 19.367 0.185 zg 414
2458210 21.382 4.514 zg 414
2458210 19.411 0.264 zg 414
2458227 19.528 0.063 zg 414
2458231 19.332 0.09 zg 414
2458234 19.639 0.164 zg 414
2458237 19.488 0.183 zg 414
2458255 19.634 0.095 zg 414
2458388 19.925 0.38 zg 414
2458426 19.863 0.096 zg 414
2458426 19.774 0.063 zg 414
2458427 19.747 0.062 zg 414
2458429 19.791 0.075 zg 414
2458429 19.84 0.066 zg 414
2458430 19.911 0.069 zg 414
2458431 19.7 0.051 zg 414
2458431 19.648 0.109 zg 414
2458432 19.732 0.07 zg 414
2458432 19.8 0.067 zg 414
2458438 19.704 0.055 zg 414
2458438 19.752 0.056 zg 414
2458439 19.763 0.072 zg 414
2458441 19.748 0.064 zg 414
2458441 19.715 0.053 zg 414
2458442 19.854 0.119 zg 414
2458443 19.594 0.098 zg 414
2458450 19.718 0.117 zg 414
2458450 19.726 0.112 zg 414
2458461 19.859 0.165 zg 414
2458461 20.381 0.74 zg 414
2458466 19.853 0.068 zg 414
2458466 19.892 0.073 zg 414
2458467 21.912 6.215 zg 414
2458468 19.779 0.057 zg 414
2458468 19.861 0.064 zg 414
2458469 19.859 0.082 zg 414
2458472 19.812 0.138 zg 414
2458472 19.811 0.12 zg 414
2458475 20.372 0.458 zg 414
2458487 19.857 0.067 zg 414
2458487 19.905 0.069 zg 414
2458491 19.673 0.11 zg 414
2458491 19.806 0.098 zg 414
2458494 20.072 0.096 zg 414
2458541 19.978 0.103 zg 414
2458562 20.198 0.41 zg 414
2458567 20.011 0.079 zg 414
2458572 19.923 0.291 zg 414
2458575 19.869 0.139 zg 414
2458581 19.827 0.109 zg 414
2458587 19.657 0.158 zg 414
2458596 19.722 0.083 zg 414
2458608 19.727 0.084 zg 414
2458759 19.536 0.071 zg 414
2458765 19.593 0.068 zg 414
2458771 19.464 0.15 zg 414
2458776 19.605 0.111 zg 414
2458779 19.73 0.132 zg 414
2458791 19.594 0.058 zg 414
2458800 19.496 0.14 zg 414
2458806 19.495 0.107 zg 414
2458812 19.467 0.058 zg 414
2458838 20.136 0.539 zg 414
2458853 19.472 0.045 zg 414
2458867 19.439 0.05 zg 414
2458872 19.496 0.058 zg 414
2458872 19.449 0.053 zg 414
2458885 19.384 0.168 zg 414
2458887 19.131 0.146 zg 414
2458891 19.407 0.084 zg 414
2458892 19.516 0.072 zg 414
2458893 19.492 0.049 zg 414
2458894 19.427 0.045 zg 414
2458894 19.428 0.051 zg 414
2458896 19.415 0.045 zg 414
2458898 19.543 0.042 zg 414
2458898 19.463 0.039 zg 414
2458899 19.536 0.046 zg 414
2458900 19.375 0.049 zg 414
2458904 19.482 0.053 zg 414
2458906 19.349 0.053 zg 414
2458912 19.352 0.081 zg 414
2458913 19.383 0.113 zg 414
2458914 19.148 0.15 zg 414
2458915 19.496 0.173 zg 414
2458915 19.625 0.157 zg 414
2458939 19.295 0.177 zg 414
2458941 19.326 0.084 zg 414
2458941 19.222 0.083 zg 414
2458954 19.266 0.048 zg 414
2458956 19.347 0.048 zg 414
2458962 19.375 0.052 zg 414
2458963 19.233 0.045 zg 414
2458964 19.245 0.044 zg 414
2458967 19.188 0.053 zg 414
2458967 19.288 0.062 zg 414
2458970 19.212 0.116 zg 414
2458973 19.382 0.148 zg 414
2459126 19.046 0.122 zg 414
2459135 19.244 0.063 zg 414
2459137 19.33 0.054 zg 414
2459141 19.337 0.045 zg 414
2459150 19.15 0.044 zg 414
2459151 19.264 0.04 zg 414
2459153 19.248 0.083 zg 414
2459156 19.302 0.115 zg 414
2459158 19.02 0.078 zg 414
2459166 19.315 0.038 zg 414
2459169 19.134 0.068 zg 414
2459170 19.226 0.039 zg 414
2459173 19.202 0.039 zg 414
2459176 19.24 0.035 zg 414
2459178 19.267 0.034 zg 414
2459185 18.915 0.077 zg 414
2459193 19.277 0.044 zg 414
2459194 19.33 0.058 zg 414
2459201 19.284 0.043 zg 414
2459216 19.141 0.093 zg 414
2459217 19.395 0.194 zg 414
2459218 19.084 0.069 zg 414
2459218 19.062 0.055 zg 414
2459218 19.086 0.056 zg 414
2459219 19.088 0.061 zg 414
2459221 19.293 0.042 zg 414
2459221 19.164 0.036 zg 414
2459222 19.274 0.04 zg 414
2459222 19.233 0.038 zg 414
2459223 19.045 0.049 zg 414
2459223 19.151 0.041 zg 414
2459224 19.226 0.044 zg 414
2459225 19.19 0.055 zg 414
2459226 19.309 0.049 zg 414
2459226 19.127 0.042 zg 414
2459226 19.257 0.045 zg 414
2459227 19.195 0.067 zg 414
2459228 19.246 0.041 zg 414
2459228 19.215 0.038 zg 414
2459228 19.254 0.038 zg 414
2459230 19.053 0.039 zg 414
2459230 19.259 0.041 zg 414
2459230 19.201 0.04 zg 414
2459231 19.205 0.042 zg 414
2459232 19.244 0.038 zg 414
2459232 19.249 0.035 zg 414
2459248 19.159 0.041 zg 414
2459248 19.186 0.039 zg 414
2459248 19.137 0.041 zg 414
2459248 19.115 0.059 zg 414
2459249 19.119 0.08 zg 414
2459251 19.221 0.041 zg 414
2459252 19.21 0.034 zg 414
2459256 19.245 0.037 zg 414
2459260 19.124 0.053 zg 414
2459265 19.117 0.046 zg 414
2459267 18.998 0.063 zg 414
2459269 19.012 0.074 zg 414
2459271 18.927 0.115 zg 414
2459275 19.095 0.044 zg 414
2459278 19.21 0.055 zg 414
2459290 19.077 0.039 zg 414
2459292 19.14 0.04 zg 414
2459293 19.077 0.048 zg 414
2459302 18.948 0.086 zg 414
2459302 19.017 0.088 zg 414
2459306 19.085 0.035 zg 414
2459307 19.07 0.033 zg 414
2459309 19.084 0.049 zg 414
2459309 19.202 0.063 zg 414
2459311 19.119 0.066 zg 414
2459313 19.174 0.044 zg 414
2459315 19.091 0.034 zg 414
2459321 19.031 0.04 zg 414
2459323 19.023 0.065 zg 414
2459325 18.855 0.06 zg 414
2459329 18.926 0.109 zg 414
2459335 19.041 0.073 zg 414
2459335 19.033 0.1 zg 414
2459338 18.968 0.045 zg 414
2459510 18.734 0.061 zg 414
2459510 18.842 0.09 zg 414
2459517 18.862 0.035 zg 414
2459523 19.02 0.029 zg 414
2459524 18.913 0.032 zg 414
2459524 18.963 0.031 zg 414
2459525 18.906 0.03 zg 414
2459531 18.879 0.033 zg 414
2459531 18.948 0.031 zg 414
2459533 18.902 0.034 zg 414
2459536 19.089 0.176 zg 414
2459537 18.804 0.186 zg 414
2459538 19.277 0.354 zg 414
2459538 18.69 0.091 zg 414
2459540 18.78 0.092 zg 414
2459550 18.892 0.027 zg 414
2459550 18.916 0.029 zg 414
2459550 18.986 0.029 zg 414
2459600 18.812 0.054 zg 414
2459640 18.823 0.034 zg 414
2459640 18.726 0.031 zg 414
2459641 18.777 0.03 zg 414
2459674 18.716 0.029 zg 414
2459678 18.565 0.035 zg 414
2459683 18.714 0.109 zg 414
2459685 18.59 0.06 zg 414
2459688 18.61 0.032 zg 414
2459696 18.704 0.032 zg 414
2459699 18.66 0.036 zg 414
2459701 18.678 0.028 zg 414
2459861 18.552 0.111 zg 414
2459872 18.629 0.033 zg 414
2459872 18.594 0.033 zg 414
2459878 18.609 0.036 zg 414
2459878 18.625 0.033 zg 414
2459879 18.647 0.031 zg 414
2459884 18.638 0.028 zg 414
2459897 18.593 0.044 zg 414
2459898 18.585 0.04 zg 414
2459898 18.517 0.036 zg 414
2459902 18.629 0.028 zg 414
